Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.972473,-0.1323453,10
test1,0.04,-7.840127,-0.1323453,10
test1,0.06,-7.644256,-0.1323453,10
test1,0.08,-7.511911,-0.1323453,10
test1,0.09999999,-7.31604,-0.1323453,10
test1,0.12,-7.194283,-0.1323453,10
test1,0.14,-7.030175,-0.1323453,10
test1,0.16,-6.929592,-0.1323453,10
test1,0.18,-6.770778,-0.1482266,10
test1,0.2,-6.67549,-0.1588142,10
test1,0.22,-6.548439,-0.1799893,10
test1,0.24,-6.45315,-0.1958707,10
test1,0.26,-6.326099,-0.2223399,10
test1,0.28,-6.23081,-0.2435151,10
test1,0.3,-6.103759,-0.2752778,10
test1,0.32,-6.019058,-0.301747,10
test1,0.34,-5.886713,-0.3440973,10
test1,0.36,-5.796718,-0.3811541,10
test1,0.38,-5.685548,-0.4287982,10
test1,0.4,-5.627316,-0.4711488,10
test1,0.42,-5.569084,-0.524087,10
test1,0.4400001,-5.542615,-0.5664372,10
test1,0.4600001,-5.52144,-0.6352568,10
test1,0.4800001,-5.52144,-0.6829011,10
test1,0.5000001,-5.532027,-0.7623082,10
test1,0.52,-5.547909,-0.8152461,10
test1,0.54,-5.59026,-0.9052408,10
test1,0.56,-5.63261,-0.9581786,10
test1,0.58,-5.712017,-1.037586,10
test1,0.6,-5.780837,-1.090524,10
test1,0.6199999,-5.886713,-1.15405,10
test1,0.6399999,-5.96612,-1.185813,10
test1,0.6599999,-6.103759,-1.217575,10
test1,0.6799999,-6.193753,-1.217575,10
test1,0.6999999,-6.326099,-1.212281,10
test1,0.7199998,-6.405506,-1.191106,10
test1,0.7399998,-6.516675,-1.132874,10
test1,0.7599998,-6.585495,-1.08523,10
test1,0.7799998,-6.67549,-0.9952354,10
test1,0.7999998,-6.723135,-0.93171,10
test1,0.8199998,-6.776072,-0.8205399,10
test1,0.8399997,-6.791954,-0.7411328,10
test1,0.8599997,-6.802542,-0.629963,10
test1,0.8799997,-6.797247,-0.5558497,10
test1,0.8999997,-6.76019,-0.4393858,10
test1,0.9199997,-6.71784,-0.3705665,10
test1,0.9399996,-6.627846,-0.2805719,10
test1,0.9599996,-6.548439,-0.2276337,10
test1,0.9799996,-6.4108,-0.1535204,10
test1,0.9999996,-6.294335,-0.1217577,10
