Trial,time,PositionX,PositionY,PositionZ
test1,0.02,-7.977767,-1.736368,10
test1,0.04,-7.951297,-1.805188,10
test1,0.06,-7.919534,-1.879301,10
test1,0.08,-7.887771,-1.964002,10
test1,0.09999999,-7.861302,-2.053997,10
test1,0.12,-7.829539,-2.133404,10
test1,0.14,-7.792483,-2.228692,10
test1,0.16,-7.76072,-2.302805,10
test1,0.18,-7.713076,-2.3928,10
test1,0.2,-7.665431,-2.477501,10
test1,0.22,-7.617787,-2.556908,10
test1,0.24,-7.564849,-2.641609,10
test1,0.26,-7.506618,-2.721016,10
test1,0.28,-7.448386,-2.795129,10
test1,0.3,-7.38486,-2.86395,10
test1,0.32,-7.321334,-2.922181,10
test1,0.34,-7.247221,-2.975119,10
test1,0.36,-7.173107,-3.022764,10
test1,0.38,-7.109582,-3.049232,10
test1,0.4,-7.040763,-3.070408,10
test1,0.42,-7.008999,-3.075702,10
test1,0.4400001,-6.998412,-3.065114,10
test1,0.4600001,-6.987824,-3.038645,10
test1,0.4800001,-6.977237,-2.996294,10
test1,0.5000001,-6.961356,-2.938062,10
test1,0.52,-6.94018,-2.86395,10
test1,0.54,-6.908417,-2.779248,10
test1,0.56,-6.866067,-2.678666,10
test1,0.58,-6.813129,-2.556908,10
test1,0.6,-6.765484,-2.43515,10
test1,0.6199999,-6.728428,-2.308099,10
test1,0.6399999,-6.696665,-2.186342,10
test1,0.6599999,-6.659609,-2.059291,10
test1,0.6799999,-6.622552,-1.926945,10
test1,0.6999999,-6.585495,-1.799894,10
test1,0.7199998,-6.548439,-1.667549,10
test1,0.7399998,-6.500794,-1.540497,10
test1,0.7599998,-6.458443,-1.41874,10
test1,0.7799998,-6.421387,-1.318157,10
test1,0.7999998,-6.379036,-1.185813,10
test1,0.8199998,-6.336687,-1.069348,10
test1,0.8399997,-6.283748,-0.9581786,10
test1,0.8599997,-6.23081,-0.8364213,10
test1,0.8799997,-6.172579,-0.7199576,10
test1,0.8999997,-6.124934,-0.6193754,10
test1,0.9199997,-6.082583,-0.5134991,10
test1,0.9399996,-6.029645,-0.4182106,10
test1,0.9599996,-5.982001,-0.3388035,10
test1,0.9799996,-5.929063,-0.2752778,10
test1,0.9999996,-5.886713,-0.2329275,10
test1,1.02,-5.849656,-0.2064586,10
test1,1.04,-5.839068,-0.2011648,10
test1,1.06,-5.828481,-0.2011648,10
test1,1.08,-5.817893,-0.2170461,10
test1,1.1,-5.791424,-0.2541026,10
test1,1.12,-5.749074,-0.3070408,10
test1,1.14,-5.70143,-0.3652728,10
test1,1.159999,-5.643198,-0.434092,10
