Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.972473,-0.3229222,10,0.04344127,1,5,5
1,0.04,-7.893065,-0.3229222,10,0.05845194,1,5,5
1,0.06,-7.781896,-0.3335097,10,0.1216541,1,5,5
1,0.08,-7.697195,-0.3440973,10,0.1695994,1,5,5
1,0.09999999,-7.586024,-0.3546849,10,0.2119583,1,5,5
1,0.12,-7.522499,-0.3546849,10,0.2070345,1,5,5
1,0.14,-7.464267,-0.3546849,10,0.2651861,1,5,5
1,0.16,-7.437799,-0.3546849,10,0.2220073,1,5,5
1,0.18,-7.363685,-0.3546849,10,0.2246179,1,5,5
1,0.2,-7.321334,-0.3546849,10,0.1932599,1,5,5
1,0.22,-7.247221,-0.3546849,10,0.190604,1,5,5
1,0.24,-7.220752,-0.3546849,10,0.137316,1,5,5
1,0.26,-7.157226,-0.3546849,10,0.1162672,1,5,5
1,0.28,-7.125464,-0.3546849,10,0.05937547,1,5,5
1,0.3,-7.072525,-0.3546849,10,0.01720963,1,5,5
1,0.32,-7.030175,-0.3440973,10,0.0391523,1,5,5
1,0.34,-6.998412,-0.3335097,10,0,1,5,5
1,0.36,-6.987824,-0.328216,10,0,1,5,5
1,0.38,-6.977237,-0.3229222,10,0,1,5,5
1,0.4,-6.977237,-0.3229222,10,0,1,5,5
1,0.42,-6.971943,-0.3229222,10,0,1,5,5
1,0.4400001,-6.96665,-0.3176284,10,0,1,5,5
1,0.4600001,-6.961356,-0.3123346,10,0,1,5,5
1,0.4800001,-6.945474,-0.3070408,10,0,1,5,5
1,0.5000001,-6.929592,-0.2911595,10,0.05184577,1,5,5
1,0.52,-6.908417,-0.2752778,10,0,1,5,5
1,0.54,-6.871361,-0.2541026,10,0,1,5,5
1,0.56,-6.850185,-0.2382213,10,0,1,5,5
1,0.58,-6.813129,-0.2170461,10,0.09331822,1,5,5
1,0.6,-6.781366,-0.1958707,10,0,1,5,5
1,0.6199999,-6.739016,-0.1694018,10,0.1367504,1,5,5
1,0.6399999,-6.696665,-0.1323453,10,0,1,5,5
1,0.6599999,-6.622552,-0.0794071,10,0.2060142,1,5,5
1,0.6799999,-6.580202,-0.05293816,10,0,1,5,5
1,0.6999999,-6.516675,-0.01588136,10,0.250625,1,5,5
1,0.7199998,-6.474325,0.01588166,10,0.2734759,1,5,5
1,0.7399998,-6.426681,0.05293787,10,0,1,5,5
1,0.7599998,-6.394918,0.0794071,10,0.287196,1,5,5
1,0.7799998,-6.357862,0.1111698,10,0.2906832,1,5,5
1,0.7999998,-6.336687,0.137639,10,0,1,5,5
1,0.8199998,-6.294335,0.1799893,10,0,1,5,5
1,0.8399997,-6.27316,0.2011645,10,0,1,5,5
1,0.8599997,-6.23081,0.2435154,10,0.2647061,1,5,5
1,0.8799997,-6.204341,0.269984,10,0,1,5,5
1,0.8999997,-6.140815,0.3440976,10,0,1,5,5
1,0.9199997,-6.098465,0.3970355,10,0.2291253,1,5,5
1,0.9399996,-6.040233,0.465855,10,0,1,5,5
1,0.9599996,-6.00847,0.5029118,10,0,1,5,5
1,0.9799996,-5.955532,0.5558497,10,0.1995594,1,5,5
1,0.9999996,-5.934357,0.5876124,10,0,1,5,5
1,1.02,-5.892006,0.6405509,10,0,1,5,5
1,1.04,-5.85495,0.6829011,10,0,1,5,5
1,1.06,-5.812599,0.7464266,10,0,1,5,5
1,1.08,-5.78613,0.7887769,10,0.1510698,1,5,5
1,1.1,-5.749074,0.8523029,10,0,1,5,5
1,1.12,-5.717311,0.9105349,10,0,1,5,5
1,1.14,-5.690842,0.9740603,10,0,1,5,5
1,1.159999,-5.67496,1.00053,10,0,1,5,5
1,1.179999,-5.659079,1.053467,10,0.1205584,1,5,5
1,1.199999,-5.648491,1.090524,10,0,1,5,5
1,1.219999,-5.63261,1.122287,10,0,1,5,5
1,1.239999,-5.622023,1.143462,10,0,1,5,5
1,1.259999,-5.611434,1.169931,10,0,1,5,5
1,1.279999,-5.606141,1.180519,10,0,1,5,5
1,1.299999,-5.59026,1.1964,10,0,1,5,5
1,1.319999,-5.584965,1.212282,10,0,1,5,5
1,1.339999,-5.574378,1.228163,10,0.139359,1,5,5
1,1.359999,-5.553203,1.244044,10,0,1,5,5
1,1.379999,-5.516146,1.270514,10,0,1,5,5
1,1.399999,-5.484383,1.291689,10,0,1,5,5
1,1.419999,-5.447327,1.312864,10,0,1,5,5
1,1.439999,-5.420857,1.318158,10,0,1,5,5
