Trial,time,PositionX,PositionY,PositionZ,frameDiff
1,0.02,-7.978354,0.1023901,10,0
1,0.04,-7.875994,0.1137662,10,0.1134028
1,0.06,-7.750887,0.1251435,10,0.1924568
1,0.08,-7.728141,0.1251435,10,0.183096
1,0.09999999,-7.716768,0.1251435,10,0.163483
1,0.12,-7.671275,0.1251435,10,0.1468638
1,0.14,-7.603035,0.1251435,10,0.2099419
1,0.16,-7.568915,0.1365197,10,0.177979
1,0.18,-7.546169,0.1365197,10,0.1388736
1,0.2,-7.546169,0.1365197,10,0.07083236
1,0.22,-7.546169,0.1365197,10,0.02556681
1,0.24,-7.546169,0.1365197,10,0
1,0.26,-7.546169,0.1365197,10,0
1,0.28,-7.546169,0.1365197,10,0
1,0.3,-7.546169,0.1365197,10,0
1,0.32,-7.546169,0.1365197,10,0
1,0.34,-7.546169,0.1478958,10,0
1,0.36,-7.546169,0.1478958,10,0
1,0.38,-7.546169,0.1478958,10,0
1,0.4,-7.546169,0.1478958,10,0
1,0.42,-7.546169,0.1592731,10,0
1,0.4400001,-7.546169,0.1592731,10,0
1,0.4600001,-7.546169,0.1592731,10,0
1,0.4800001,-7.546169,0.1592731,10,0
1,0.5000001,-7.546169,0.1592731,10,0
1,0.52,-7.546169,0.1592731,10,0
1,0.54,-7.546169,0.1592731,10,0
1,0.56,-7.546169,0.1592731,10,0
1,0.58,-7.534796,0.1592731,10,0
1,0.6,-7.512049,0.1365197,10,0
1,0.6199999,-7.47793,0.09101391,10,0
1,0.6399999,-7.44381,0.03413081,10,0.04842701
1,0.6599999,-7.37557,-0.06825835,10,0.1015412
1,0.6799999,-7.330077,-0.1365176,10,0
1,0.6999999,-7.284584,-0.2161533,10,0
1,0.7199998,-7.250463,-0.2730364,10,0.1378902
1,0.7399998,-7.20497,-0.3640494,10,0
1,0.7599998,-7.159477,-0.4323086,10,0
1,0.7799998,-7.136731,-0.4891908,10,0.1899028
1,0.7999998,-7.079865,-0.6257096,10,0
1,0.8199998,-7.057118,-0.7167226,10,0.2141169
1,0.8399997,-7.034371,-0.7736057,10,0
1,0.8599997,-7.034371,-0.8077353,10,0
1,0.8799997,-7.034371,-0.8759949,10,0
1,0.8999997,-7.022998,-0.9442541,10,0
1,0.9199997,-7.022998,-0.9897602,10,0.1614547
1,0.9399996,-7.022998,-1.058019,10,0
1,0.9599996,-7.022998,-1.092149,10,0
1,0.9799996,-7.022998,-1.171785,10,0.1269141
1,0.9999996,-7.022998,-1.240044,10,0
1,1.02,-7.022998,-1.319681,10,0
1,1.04,-7.022998,-1.376563,10,0.03582068
1,1.06,-7.022998,-1.501705,10,0.07022986
1,1.08,-7.022998,-1.615471,10,0
1,1.1,-7.011625,-1.763367,10,0
1,1.12,-7.000252,-1.877132,10,0
1,1.14,-6.966132,-1.979521,10,0
1,1.159999,-6.932012,-2.047781,10,0
1,1.179999,-6.897892,-2.104664,10,0
1,1.199999,-6.886518,-2.11604,10,0
1,1.219999,-6.875146,-2.11604,10,0.6489227
1,1.239999,-6.875146,-2.11604,10,0
1,1.259999,-6.863772,-2.104664,10,0
1,1.279999,-6.852399,-2.059157,10,0
1,1.299999,-6.829652,-1.934015,10,0
1,1.319999,-6.806906,-1.808873,10,0
1,1.339999,-6.75004,-1.569965,10,0
1,1.359999,-6.715919,-1.433446,10,0.1180249
1,1.379999,-6.704546,-1.342433,10,0.05594354
1,1.399999,-6.670427,-1.217292,10,0.03152407
1,1.419999,-6.659053,-1.149032,10,0.06655518
1,1.439999,-6.624934,-1.02389,10,0.1420489
1,1.459999,-6.590814,-0.9215006,10,0
1,1.479999,-6.579441,-0.887371,10,0
1,1.499999,-6.545321,-0.8418649,10,0.2319039
1,1.519999,-6.522574,-0.8077353,10,0
1,1.539999,-6.477081,-0.7394761,10,0.2768606
1,1.559999,-6.454334,-0.7167226,10,0
1,1.579999,-6.408841,-0.6825927,10,0
1,1.599999,-6.386095,-0.6598392,10,0
1,1.619999,-6.340601,-0.6484631,10,0.270137
1,1.639999,-6.317855,-0.6484631,10,0
1,1.659999,-6.272362,-0.6484631,10,0
1,1.679999,-6.249615,-0.6598392,10,0
1,1.699999,-6.204123,-0.6712165,10,0
1,1.719999,-6.147256,-0.7053462,10,0.1296975
1,1.739999,-6.033523,-0.7622284,10,0
1,1.759999,-5.897044,-0.8077353,10,0.1105031
1,1.779999,-5.760564,-0.8191115,10,0.1662374
1,1.799999,-5.658205,-0.8191115,10,0.1880606
1,1.819999,-5.533099,-0.8191115,10,0.1775311
1,1.839999,-5.464859,-0.8191115,10,0
1,1.859999,-5.385246,-0.8191115,10,0.1328252
1,1.879999,-5.339754,-0.8191115,10,0
1,1.899999,-5.282887,-0.8304879,10,0.120567
1,1.919999,-5.22602,-0.8532414,10,0
1,1.939999,-5.157781,-0.887371,10,0
1,1.959999,-5.100914,-0.9215006,10,0.09431876
1,1.979999,-5.021301,-0.9670067,10,0
1,1.999999,-4.975809,-1.012514,10,0.1113009
1,2.019999,-4.941688,-1.046643,10,0
1,2.039999,-4.907568,-1.092149,10,0
1,2.059999,-4.884822,-1.114902,10,0
1,2.079999,-4.884822,-1.126279,10,0
1,2.099999,-4.873449,-1.149032,10,0.1730805
1,2.119999,-4.862076,-1.171785,10,0
1,2.139999,-4.827956,-1.217292,10,0
1,2.159999,-4.782462,-1.285551,10,0
1,2.179999,-4.725596,-1.399317,10,0.2977146
1,2.199999,-4.657357,-1.490329,10,0
1,2.219999,-4.520877,-1.660978,10,0.4700647
1,2.239999,-4.429891,-1.751989,10,0.5421236
1,2.259999,-4.270665,-1.877132,10,0
1,2.279999,-4.213799,-1.899886,10,0
1,2.299999,-4.111439,-1.922638,10,0.7151359
1,2.319999,-4.0432,-1.922638,10,0
1,2.339998,-3.963587,-1.922638,10,0
1,2.359998,-3.895347,-1.865756,10,0
1,2.379998,-3.792988,-1.729237,10,0.6401856
1,2.399998,-3.667882,-1.547211,10,0
1,2.419998,-3.645135,-1.513082,10,0
1,2.439998,-3.565522,-1.365187,10,0.5161222
1,2.459998,-3.531403,-1.262798,10,0
1,2.479998,-3.531403,-1.205914,10,0.4688986
1,2.499998,-3.531403,-1.160408,10,0
1,2.519998,-3.531403,-1.126279,10,0
1,2.539998,-3.531403,-1.080773,10,0
1,2.559998,-3.531403,-1.035266,10,0
1,2.579998,-3.531403,-0.9670067,10,0
1,2.599998,-3.531403,-0.9215006,10,0.3498171
1,2.619998,-3.531403,-0.8532414,10,0
1,2.639998,-3.531403,-0.7736057,10,0
1,2.659998,-3.542776,-0.7167226,10,0
1,2.679998,-3.542776,-0.6257096,10,0.2489384
1,2.699998,-3.554149,-0.5119443,10,0
1,2.719998,-3.565522,-0.4436851,10,0.1979471
1,2.739998,-3.588269,-0.3299198,10,0
1,2.759998,-3.588269,-0.2844128,10,0.167086
1,2.779998,-3.611016,-0.2161533,10,0
1,2.799998,-3.645135,-0.1365176,10,0
1,2.819998,-3.679255,-0.06825835,10,0.03903991
1,2.839998,-3.713375,-0.02275258,10,0
1,2.859998,-3.724748,1.192093E-06,10,0
1,2.879998,-3.747495,0.05688429,10,0.05903831
1,2.899998,-3.781615,0.1478958,10,0.1083282
1,2.919998,-3.838481,0.2502853,10,0
1,2.939998,-3.90672,0.3640515,10,0
1,2.959998,-3.952214,0.4209334,10,0
1,2.979998,-3.963587,0.455063,10,0
1,2.999998,-3.986333,0.4891932,10,0
1,3.019998,-3.997707,0.5233228,10,0
1,3.039998,-3.997707,0.5802059,10,0
1,3.059998,-3.997707,0.6484652,10,0
1,3.079998,-3.997707,0.6825948,10,0
1,3.099998,-3.97496,0.7167244,10,0
1,3.119998,-3.94084,0.7281005,10,0
1,3.139998,-3.90672,0.7281005,10,0
1,3.159998,-3.872601,0.7167244,10,0
1,3.179998,-3.804361,0.6598413,10,0
1,3.199998,-3.690628,0.5347002,10,0
1,3.219998,-3.520029,0.341298,10,0.2508859
1,3.239998,-3.406296,0.1934028,10,0.2400344
1,3.259998,-3.292564,0.01137733,10,0.2567675
1,3.279998,-3.212951,-0.147894,10,0.2424762
1,3.299998,-3.042352,-0.5119443,10,0.3087331
1,3.319998,-3.008231,-0.59158,10,0.1671453
1,3.339998,-2.917245,-0.7736057,10,0.0932631
1,3.359998,-2.883126,-0.8418649,10,0
1,3.379997,-2.826259,-0.9556302,10,0.09958173
1,3.399997,-2.803513,-1.02389,10,0
1,3.419997,-2.769392,-1.137655,10,0
1,3.439997,-2.746646,-1.194538,10,0
1,3.459997,-2.735273,-1.262798,10,0.167587
1,3.479997,-2.7239,-1.285551,10,0
1,3.499997,-2.701153,-1.331057,10,0
1,3.519997,-2.701153,-1.35381,10,0
1,3.539997,-2.68978,-1.399317,10,0
1,3.559997,-2.678406,-1.42207,10,0
1,3.579997,-2.65566,-1.467576,10,0
1,3.599997,-2.632913,-1.501705,10,0
1,3.619997,-2.610167,-1.547211,10,0
1,3.639997,-2.576047,-1.581341,10,0.2710319
1,3.659997,-2.507807,-1.649601,10,0
1,3.679997,-2.428195,-1.729237,10,0
1,3.699997,-2.268969,-1.843002,10,0.2639336
1,3.719997,-2.166609,-1.899886,10,0
1,3.739997,-1.916397,-2.002275,10,0.2045549
1,3.759997,-1.791291,-2.025027,10,0
1,3.779997,-1.586572,-2.070534,10,0.1235378
1,3.799997,-1.484213,-2.08191,10,0
1,3.819997,-1.359106,-2.08191,10,0.08522055
1,3.839997,-1.188507,-2.08191,10,0
1,3.859997,-1.040655,-2.08191,10,0.007159953
1,3.879997,-0.9382955,-2.08191,10,0
1,3.899997,-0.8359359,-2.08191,10,0.04329091
1,3.919997,-0.6767094,-2.08191,10,0
1,3.939997,-0.5857239,-2.047781,10,0.07071136
1,3.959997,-0.54023,-2.013651,10,0
1,3.979997,-0.5061104,-1.990897,10,0
1,3.999997,-0.4606177,-1.956768,10,0
1,4.019997,-0.4151244,-1.911262,10,0.07464086
1,4.039997,-0.3810047,-1.877132,10,0
1,4.059997,-0.3241384,-1.797496,10,0
1,4.079997,-0.2331512,-1.68373,10,0.02901983
1,4.099997,-0.1762861,-1.604095,10,0
1,4.119997,-0.07392646,-1.467576,10,0.03431088
1,4.139997,-0.02843257,-1.399317,10,0
1,4.159997,0.02843375,-1.262798,10,0.05586662
