Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.98306,0.0794071,10,0,1,0,0
1,0.04,-7.956591,0.1058763,10,0.0767987,1,0,0
1,0.06,-7.91424,0.1429325,10,0.04652356,1,0,0
1,0.08,-7.898359,0.1535201,10,0.03344409,1,0,0
1,0.09999999,-7.877183,0.1694018,10,0.02092778,1,0,0
1,0.12,-7.866596,0.1799893,10,0,1,0,0
1,0.14,-7.850715,0.1905769,10,0,1,0,0
1,0.16,-7.840127,0.195871,10,0,1,0,0
1,0.18,-7.829539,0.2011645,10,0.02897943,1,0,0
1,0.2,-7.824246,0.2064586,10,0,1,0,0
1,0.22,-7.818952,0.2064586,10,0,1,0,0
1,0.24,-7.813658,0.2117521,10,0,1,0,0
1,0.26,-7.808364,0.2117521,10,0,1,0,0
1,0.28,-7.80307,0.2170461,10,0,1,0,0
1,0.3,-7.792483,0.2170461,10,0,1,0,0
1,0.32,-7.787189,0.2223396,10,0,1,0,0
1,0.34,-7.787189,0.2223396,10,0,1,0,0
1,0.36,-7.787189,0.2223396,10,0,1,0,0
1,0.38,-7.781896,0.2223396,10,0,1,0,0
1,0.4,-7.776602,0.2276337,10,0,1,0,0
1,0.42,-7.771308,0.2276337,10,0.04703238,1,0,0
1,0.4400001,-7.771308,0.2276337,10,0,1,0,0
1,0.4600001,-7.771308,0.2276337,10,0,1,0,0
1,0.4800001,-7.771308,0.2276337,10,0,1,0,0
1,0.5000001,-7.771308,0.2276337,10,0,1,0,0
1,0.52,-7.771308,0.2276337,10,0,1,0,0
1,0.54,-7.771308,0.2276337,10,0,1,0,0
1,0.56,-7.771308,0.2276337,10,0,1,0,0
1,0.58,-7.766014,0.2276337,10,0,1,0,0
1,0.6,-7.750133,0.2223396,10,0,1,0,0
1,0.6199999,-7.681313,0.195871,10,0.01074962,1,0,0
1,0.6399999,-7.638962,0.1746958,10,0.03388769,1,0,0
1,0.6599999,-7.533087,0.1217574,10,0.01087215,1,0,0
1,0.6799999,-7.474854,0.08470118,10,0,1,0,0
1,0.6999999,-7.374272,0.01588166,10,0.09895761,1,0,0
1,0.7199998,-7.310747,-0.04235059,10,0.1542821,1,0,0
1,0.7399998,-7.278984,-0.08999467,10,0,1,0,0
1,0.7599998,-7.257809,-0.137639,10,0,1,0,0
1,0.7799998,-7.236633,-0.1958707,10,0,1,0,0
1,0.7999998,-7.220752,-0.2382213,10,0.1836372,1,0,0
1,0.8199998,-7.199577,-0.328216,10,0,1,0,0
1,0.8399997,-7.183695,-0.3917417,10,0,1,0,0
1,0.8599997,-7.167813,-0.4499736,10,0,1,0,0
1,0.8799997,-7.157226,-0.4923239,10,0.1737979,1,0,0
1,0.8999997,-7.136051,-0.571731,10,0,1,0,0
1,0.9199997,-7.125464,-0.6140816,10,0,1,0,0
1,0.9399996,-7.104288,-0.6934887,10,0,1,0,0
1,0.9599996,-7.088407,-0.735839,10,0.1789725,1,0,0
1,0.9799996,-7.061938,-0.8152461,10,0,1,0,0
1,0.9999996,-7.040763,-0.8734781,10,0,1,0,0
1,1.02,-7.008999,-0.9528849,10,0.1975691,1,0,0
1,1.04,-6.982531,-1.021704,10,0,1,0,0
1,1.06,-6.945474,-1.111699,10,0,1,0,0
1,1.08,-6.913711,-1.191106,10,0.1911961,1,0,0
1,1.1,-6.871361,-1.296983,10,0.1876535,1,0,0
1,1.12,-6.844892,-1.360508,10,0.1598387,1,0,0
1,1.14,-6.807836,-1.439915,10,0.09353607,1,0,0
1,1.159999,-6.781366,-1.48756,10,0.093149,1,0,0
1,1.179999,-6.76019,-1.524616,10,0,1,0,0
1,1.199999,-6.749603,-1.545791,10,0,1,0,0
1,1.219999,-6.744309,-1.556379,10,0,1,0,0
1,1.239999,-6.744309,-1.561672,10,0,1,0,0
1,1.259999,-6.739016,-1.566967,10,0,1,0,0
1,1.279999,-6.739016,-1.566967,10,0,1,0,0
1,1.299999,-6.739016,-1.566967,10,0,1,0,0
1,1.319999,-6.739016,-1.566967,10,0,1,0,0
1,1.339999,-6.739016,-1.566967,10,0,1,0,0
1,1.359999,-6.739016,-1.566967,10,0,1,0,0
1,1.379999,-6.739016,-1.566967,10,0,1,0,0
1,1.399999,-6.739016,-1.566967,10,0,1,0,0
1,1.419999,-6.739016,-1.566967,10,0,1,0,0
1,1.439999,-6.739016,-1.566967,10,0,1,0,0
1,1.459999,-6.739016,-1.566967,10,0,1,0,0
1,1.479999,-6.739016,-1.566967,10,0,1,0,0
1,1.499999,-6.739016,-1.566967,10,0,1,0,0
1,1.519999,-6.739016,-1.566967,10,0,1,0,0
1,1.539999,-6.739016,-1.566967,10,0,1,0,0
1,1.559999,-6.739016,-1.566967,10,0,1,0,0
1,1.579999,-6.739016,-1.561672,10,0,1,0,0
1,1.599999,-6.733722,-1.545791,10,0,1,0,0
1,1.619999,-6.707253,-1.471678,10,0,1,0,0
1,1.639999,-6.686077,-1.41874,10,0.1133425,1,0,0
1,1.659999,-6.622552,-1.296983,10,0.07726316,1,0,0
1,1.679999,-6.580202,-1.217575,10,0.05604201,1,0,0
1,1.699999,-6.506088,-1.090524,10,0.008337816,1,0,0
1,1.719999,-6.45315,-1.011117,10,0.05979624,1,0,0
1,1.739999,-6.400212,-0.9264162,10,0,1,0,0
1,1.759999,-6.363155,-0.8840656,10,0.09661423,1,0,0
1,1.779999,-6.326099,-0.8523029,10,0,1,0,0
1,1.799999,-6.304924,-0.8364213,10,0,1,0,0
1,1.819999,-6.283748,-0.8205399,10,0,1,0,0
1,1.839999,-6.267867,-0.8099523,10,0.114874,1,0,0
1,1.859999,-6.23081,-0.794071,10,0,1,0,0
1,1.879999,-6.209635,-0.7887772,10,0,1,0,0
1,1.899999,-6.156697,-0.7781896,10,0,1,0,0
1,1.919999,-6.11964,-0.7728958,10,0,1,0,0
1,1.939999,-6.019058,-0.7623082,10,0.01451336,1,0,0
1,1.959999,-5.96612,-0.7623082,10,0,1,0,0
1,1.979999,-5.886713,-0.7570142,10,0.06108803,1,0,0
1,1.999999,-5.85495,-0.7570142,10,0,1,0,0
