Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.951297,-0.02117515,10,0.2037732,1,5,5
1,0.04,-7.908947,0.005294085,10,0.1815778,1,5,5
1,0.06,-7.877183,0.04235029,10,0.1464148,1,5,5
1,0.08,-7.856009,0.06352544,10,0.1250599,1,5,5
1,0.09999999,-7.834833,0.08999467,10,0,1,5,5
1,0.12,-7.813658,0.1111698,10,0.08161215,1,5,5
1,0.14,-7.776602,0.1535201,10,0,1,5,5
1,0.16,-7.755426,0.1746958,10,0.02811443,1,5,5
1,0.18,-7.713076,0.2170461,10,0,1,5,5
1,0.2,-7.691901,0.2382213,10,0.04555007,1,5,5
1,0.22,-7.654844,0.269984,10,0,1,5,5
1,0.24,-7.628375,0.2858657,10,0,1,5,5
1,0.26,-7.564849,0.3123343,10,0.1423156,1,5,5
1,0.28,-7.533087,0.3229225,10,0,1,5,5
1,0.3,-7.490736,0.328216,10,0,1,5,5
1,0.32,-7.469561,0.328216,10,0,1,5,5
1,0.34,-7.437799,0.328216,10,0,1,5,5
1,0.36,-7.411328,0.3176284,10,0,1,5,5
1,0.38,-7.374272,0.2911592,10,0.2427386,1,5,5
1,0.4,-7.337216,0.2593964,10,0,1,5,5
1,0.42,-7.263103,0.1905769,10,0.286015,1,5,5
1,0.4400001,-7.199577,0.1164639,10,0,1,5,5
1,0.4600001,-7.141345,0.02117515,10,0.3217085,1,5,5
1,0.4800001,-7.088407,-0.07411331,10,0,1,5,5
1,0.5000001,-7.008999,-0.2223399,10,0.3636098,1,5,5
1,0.52,-6.96665,-0.3229222,10,0,1,5,5
1,0.54,-6.908417,-0.4923239,10,0.3845762,1,5,5
1,0.56,-6.871361,-0.6087878,10,0,1,5,5
1,0.58,-6.823717,-0.7834834,10,0.3908941,1,5,5
1,0.6,-6.791954,-0.9052408,10,0.399826,1,5,5
1,0.6199999,-6.739016,-1.090524,10,0.3927742,1,5,5
1,0.6399999,-6.712546,-1.1964,10,0.3752018,1,5,5
1,0.6599999,-6.670196,-1.355214,10,0.3118497,1,5,5
1,0.6799999,-6.643727,-1.46109,10,0.2535675,1,5,5
1,0.6999999,-6.596083,-1.598729,10,0.3022766,1,5,5
1,0.7199998,-6.569614,-1.68343,10,0,1,5,5
1,0.7399998,-6.543145,-1.799894,10,0,1,5,5
1,0.7599998,-6.521969,-1.884595,10,0,1,5,5
1,0.7799998,-6.495501,-1.97459,10,0,1,5,5
1,0.7999998,-6.479619,-2.027528,10,0,1,5,5
1,0.8199998,-6.463738,-2.080466,10,0,1,5,5
1,0.8399997,-6.458443,-2.091053,10,0,1,5,5
1,0.8599997,-6.458443,-2.091053,10,0,1,5,5
1,0.8799997,-6.458443,-2.091053,10,0,1,5,5
1,0.8999997,-6.458443,-2.085759,10,0,1,5,5
1,0.9199997,-6.458443,-2.032821,10,0,1,5,5
1,0.9399996,-6.45315,-1.889889,10,0,1,5,5
1,0.9599996,-6.45315,-1.746956,10,0,1,5,5
1,0.9799996,-6.442562,-1.535204,10,0.3763102,1,5,5
1,0.9999996,-6.421387,-1.397564,10,0.3004884,1,5,5
1,1.02,-6.389625,-1.191106,10,0.2063007,1,5,5
1,1.04,-6.357862,-1.069348,10,0.1415222,1,5,5
1,1.06,-6.299629,-0.899947,10,0.1504008,1,5,5
1,1.08,-6.251986,-0.7834834,10,0.1542567,1,5,5
1,1.1,-6.151403,-0.6193754,10,0.2300858,1,5,5
1,1.12,-6.082583,-0.5082053,10,0.2631084,1,5,5
1,1.14,-5.96612,-0.3440973,10,0.3594079,1,5,5
1,1.159999,-5.870831,-0.2329275,10,0.4340611,1,5,5
1,1.179999,-5.70143,-0.05293816,10,0.5881169,1,5,5
1,1.199999,-5.59026,0.05293787,10,0,1,5,5
1,1.219999,-5.415564,0.1641083,10,0.818004,1,5,5
1,1.239999,-5.320275,0.2011645,10,0,1,5,5
1,1.259999,-5.251456,0.2223396,10,0,1,5,5
1,1.279999,-5.23028,0.2223396,10,0,1,5,5
1,1.299999,-5.177342,0.2011645,10,0,1,5,5
1,1.319999,-5.103229,0.1535201,10,0.882421,1,5,5
1,1.339999,-5.002647,0.07411301,10,0,1,5,5
1,1.359999,-4.939121,0.01588166,10,0,1,5,5
1,1.379999,-4.817364,-0.1111698,10,0.7532067,1,5,5
1,1.399999,-4.732663,-0.2011648,10,0,1,5,5
1,1.419999,-4.610905,-0.3388035,10,0.6694686,1,5,5
1,1.439999,-4.531498,-0.4393858,10,0.6267735,1,5,5
1,1.459999,-4.425622,-0.571731,10,0.5710715,1,5,5
1,1.479999,-4.351509,-0.6670195,10,0.5248424,1,5,5
1,1.499999,-4.250926,-0.8046585,10,0.4364314,1,5,5
1,1.519999,-4.182107,-0.9052408,10,0.3424033,1,5,5
1,1.539999,-4.086819,-1.048173,10,0.1893592,1,5,5
1,1.559999,-4.028586,-1.12758,10,0.05100088,1,5,5
1,1.579999,-3.954474,-1.217575,10,0,1,5,5
1,1.599999,-3.928005,-1.244044,10,0,1,5,5
1,1.619999,-3.901535,-1.26522,10,0,1,5,5
1,1.639999,-3.901535,-1.26522,10,0,1,5,5
1,1.659999,-3.896241,-1.26522,10,0,1,5,5
1,1.679999,-3.885654,-1.254632,10,0,1,5,5
1,1.699999,-3.832716,-1.191106,10,0.1997325,1,5,5
1,1.719999,-3.779778,-1.12758,10,0,1,5,5
1,1.739999,-3.679196,-1.021704,10,0.2427328,1,5,5
1,1.759999,-3.610376,-0.9475914,10,0,1,5,5
1,1.779999,-3.520381,-0.8417153,10,0.3254253,1,5,5
1,1.799999,-3.462149,-0.7728958,10,0,1,5,5
1,1.819999,-3.361567,-0.6617257,10,0.4329128,1,5,5
1,1.839999,-3.292748,-0.5664372,10,0,1,5,5
1,1.859999,-3.176284,-0.4129168,10,0.5702491,1,5,5
1,1.879999,-3.107464,-0.3123346,10,0.6268702,1,5,5
1,1.899999,-3.022763,-0.1535204,10,0.6910826,1,5,5
1,1.919999,-2.975119,-0.05293816,10,0.726896,1,5,5
1,1.939999,-2.916887,0.1111698,10,0.7579066,1,5,5
1,1.959999,-2.885125,0.2329272,10,0.7704232,1,5,5
1,1.979999,-2.853362,0.4235047,10,0.8353646,1,5,5
1,1.999999,-2.842774,0.539968,10,0,1,5,5
1,2.019999,-2.842774,0.6881946,10,0,1,5,5
1,2.039999,-2.842774,0.7623082,10,0,1,5,5
1,2.059999,-2.842774,0.8205402,10,0,1,5,5
1,2.079999,-2.842774,0.8311278,10,0,1,5,5
1,2.099999,-2.842774,0.8311278,10,0,1,5,5
1,2.119999,-2.848068,0.8311278,10,0,1,5,5
1,2.139999,-2.863949,0.8311278,10,0,1,5,5
1,2.159999,-2.879831,0.8311278,10,0,1,5,5
1,2.179999,-2.969826,0.7887769,10,0,1,5,5
1,2.199999,-3.049233,0.7464266,10,0,1,5,5
1,2.219999,-3.208047,0.6670195,10,0,1,5,5
1,2.239999,-3.308629,0.5876124,10,0,1,5,5
1,2.259999,-3.403918,0.4605609,10,0,1,5,5
1,2.279999,-3.440974,0.3705662,10,0,1,5,5
1,2.299999,-3.472737,0.2276337,10,0,1,5,5
1,2.319999,-3.478031,0.1270515,10,0,1,5,5
1,2.339998,-3.467443,-0.05293816,10,0.07264912,1,5,5
1,2.359998,-3.435681,-0.1958707,10,0.01746452,1,5,5
1,2.379998,-3.345685,-0.3970355,10,0.01993375,1,5,5
