Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.972473,0.3070408,10,0.1251547,1,5,5
1,0.04,-7.946003,0.3229225,10,0.1382962,1,5,5
1,0.06,-7.919534,0.33351,10,0.1478442,1,5,5
1,0.08,-7.903653,0.3440976,10,0,1,5,5
1,0.09999999,-7.877183,0.3546852,10,0.1669159,1,5,5
1,0.12,-7.866596,0.3652728,10,0,1,5,5
1,0.14,-7.845421,0.3705662,10,0.1837997,1,5,5
1,0.16,-7.829539,0.3758603,10,0,1,5,5
1,0.18,-7.813658,0.3864479,10,0,1,5,5
1,0.2,-7.80307,0.3864479,10,0,1,5,5
1,0.22,-7.776602,0.3917414,10,0.2000295,1,5,5
1,0.24,-7.755426,0.3970355,10,0,1,5,5
1,0.26,-7.739545,0.3970355,10,0,1,5,5
1,0.28,-7.728957,0.3970355,10,0,1,5,5
1,0.3,-7.707782,0.3970355,10,0.2025703,1,5,5
1,0.32,-7.691901,0.3970355,10,0,1,5,5
1,0.34,-7.670725,0.3864479,10,0,1,5,5
1,0.36,-7.654844,0.3758603,10,0,1,5,5
1,0.38,-7.617787,0.3546852,10,0,1,5,5
1,0.4,-7.596612,0.3388035,10,0,1,5,5
1,0.42,-7.559555,0.3070408,10,0.1388909,1,5,5
1,0.4400001,-7.527793,0.269984,10,0,1,5,5
1,0.4600001,-7.474854,0.2223396,10,0.1270914,1,5,5
1,0.4800001,-7.443092,0.195871,10,0,1,5,5
1,0.5000001,-7.395447,0.1429325,10,0,1,5,5
1,0.52,-7.368979,0.1111698,10,0.1552818,1,5,5
1,0.54,-7.337216,0.06352544,10,0,1,5,5
1,0.56,-7.321334,0.02646923,10,0,1,5,5
1,0.58,-7.289572,-0.04235059,10,0.167801,1,5,5
1,0.6,-7.27369,-0.09528846,10,0,1,5,5
1,0.6199999,-7.252514,-0.1588142,10,0,1,5,5
1,0.6399999,-7.241927,-0.2011648,10,0,1,5,5
1,0.6599999,-7.210165,-0.3123346,10,0.143503,1,5,5
1,0.6799999,-7.199577,-0.3652728,10,0,1,5,5
1,0.6999999,-7.183695,-0.4499736,10,0,1,5,5
1,0.7199998,-7.167813,-0.5187929,10,0.1470174,1,5,5
1,0.7399998,-7.151932,-0.6087878,10,0,1,5,5
1,0.7599998,-7.146639,-0.6723133,10,0,1,5,5
1,0.7799998,-7.125464,-0.7517204,10,0.1439763,1,5,5
1,0.7999998,-7.12017,-0.8099523,10,0,1,5,5
1,0.8199998,-7.114876,-0.8787718,10,0,1,5,5
1,0.8399997,-7.104288,-0.9211224,10,0,1,5,5
1,0.8599997,-7.098995,-0.97406,10,0.1324363,1,5,5
1,0.8799997,-7.0937,-1.005823,10,0,1,5,5
1,0.8999997,-7.083113,-1.058761,10,0,1,5,5
1,0.9199997,-7.072525,-1.106405,10,0,1,5,5
1,0.9399996,-7.061938,-1.1964,10,0.09052955,1,5,5
1,0.9599996,-7.051351,-1.275807,10,0,1,5,5
1,0.9799996,-7.024881,-1.429327,10,0.01795262,1,5,5
1,0.9999996,-7.014293,-1.508734,10,0.06606228,1,5,5
1,1.02,-7.003706,-1.598729,10,0,1,5,5
1,1.04,-6.998412,-1.630492,10,0,1,5,5
1,1.06,-6.993118,-1.662255,10,0,1,5,5
1,1.08,-6.993118,-1.672843,10,0,1,5,5
1,1.1,-6.993118,-1.678137,10,0,1,5,5
1,1.12,-6.993118,-1.678137,10,0,1,5,5
1,1.14,-6.993118,-1.678137,10,0,1,5,5
1,1.159999,-6.993118,-1.678137,10,0,1,5,5
1,1.179999,-6.993118,-1.68343,10,0,1,5,5
1,1.199999,-6.993118,-1.68343,10,0,1,5,5
1,1.219999,-6.987824,-1.694018,10,0,1,5,5
1,1.239999,-6.987824,-1.699311,10,0,1,5,5
1,1.259999,-6.987824,-1.699311,10,0,1,5,5
1,1.279999,-6.987824,-1.699311,10,0,1,5,5
1,1.299999,-6.982531,-1.672843,10,0,1,5,5
1,1.319999,-6.977237,-1.625198,10,0,1,5,5
1,1.339999,-6.961356,-1.498147,10,0,1,5,5
1,1.359999,-6.945474,-1.413446,10,0,1,5,5
1,1.379999,-6.919005,-1.312864,10,0.1561566,1,5,5
1,1.399999,-6.903124,-1.26522,10,0.1606645,1,5,5
1,1.419999,-6.866067,-1.169931,10,0.1943111,1,5,5
1,1.439999,-6.834304,-1.116993,10,0.2006491,1,5,5
1,1.459999,-6.776072,-1.026999,10,0.2273884,1,5,5
1,1.479999,-6.739016,-0.97406,10,0,1,5,5
1,1.499999,-6.686077,-0.9052408,10,0.2621088,1,5,5
1,1.519999,-6.643727,-0.8628905,10,0,1,5,5
