Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,preTrialOffset,preLevelOffset
1,0.02,-7.993648,0.1588142,10,0,1,5,5
1,0.04,-7.967178,0.1852834,10,0.003316858,1,5,5
1,0.06,-7.935416,0.2117521,10,0.02663382,1,5,5
1,0.08,-7.919534,0.2223396,10,0,1,5,5
1,0.09999999,-7.893065,0.2382213,10,0.05186336,1,5,5
1,0.12,-7.87189,0.2435154,10,0.05563508,1,5,5
1,0.14,-7.834833,0.2593964,10,0.07498265,1,5,5
1,0.16,-7.797777,0.269984,10,0,1,5,5
1,0.18,-7.766014,0.2858657,10,0.09477372,1,5,5
1,0.2,-7.750133,0.2911592,10,0,1,5,5
1,0.22,-7.728957,0.2964532,10,0,1,5,5
1,0.24,-7.718369,0.2964532,10,0,1,5,5
1,0.26,-7.697195,0.2964532,10,0.1020597,1,5,5
1,0.28,-7.681313,0.2964532,10,0,1,5,5
1,0.3,-7.665431,0.2964532,10,0,1,5,5
1,0.32,-7.654844,0.2964532,10,0,1,5,5
1,0.34,-7.633668,0.2964532,10,0,1,5,5
1,0.36,-7.617787,0.2911592,10,0,1,5,5
1,0.38,-7.591318,0.2858657,10,0.110897,1,5,5
1,0.4,-7.575437,0.2805716,10,0,1,5,5
1,0.42,-7.533087,0.2593964,10,0,1,5,5
1,0.4400001,-7.501324,0.2435154,10,0,1,5,5
1,0.4600001,-7.45368,0.2170461,10,0.134716,1,5,5
1,0.4800001,-7.42721,0.195871,10,0,1,5,5
1,0.5000001,-7.38486,0.1641083,10,0,1,5,5
1,0.52,-7.353097,0.137639,10,0.1857595,1,5,5
1,0.54,-7.321334,0.1005822,10,0,1,5,5
1,0.56,-7.305453,0.0794071,10,0,1,5,5
1,0.58,-7.27369,0.02117515,10,0,1,5,5
1,0.6,-7.247221,-0.03705651,10,0.2022224,1,5,5
1,0.6199999,-7.210165,-0.105876,10,0,1,5,5
1,0.6399999,-7.194283,-0.1482266,10,0,1,5,5
1,0.6599999,-7.16252,-0.2382213,10,0.2248337,1,5,5
1,0.6799999,-7.136051,-0.3123346,10,0,1,5,5
1,0.6999999,-7.104288,-0.4076231,10,0,1,5,5
1,0.7199998,-7.083113,-0.4817364,10,0.2350325,1,5,5
1,0.7399998,-7.067232,-0.5558497,10,0,1,5,5
1,0.7599998,-7.051351,-0.6140816,10,0,1,5,5
1,0.7799998,-7.030175,-0.6987825,10,0.245779,1,5,5
