Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
1,0.02,-7.989727,0.09101391,10,0,2,5,5
1,0.04,-7.978354,0.1137662,10,0,2,5,5
1,0.06,-7.955607,0.1251435,10,0.05792614,2,5,5
1,0.08,-7.944234,0.1478958,10,0.03872302,2,5,5
1,0.09999999,-7.932861,0.1592731,10,0,2,5,5
1,0.12,-7.932861,0.1592731,10,0,2,5,5
1,0.14,-7.932861,0.1706493,10,0,2,5,5
1,0.16,-7.932861,0.1706493,10,0,2,5,5
1,0.18,-7.932861,0.1706493,10,0,2,5,5
1,0.2,-7.921487,0.1706493,10,0,2,5,5
1,0.22,-7.921487,0.1706493,10,0,2,5,5
1,0.24,-7.89874,0.1820254,10,0.005181101,2,5,5
1,0.26,-7.887367,0.1820254,10,0,2,5,5
1,0.28,-7.875994,0.1934028,10,0.009903629,2,5,5
1,0.3,-7.864621,0.1934028,10,0,2,5,5
1,0.32,-7.853247,0.2047789,10,0,2,5,5
1,0.34,-7.841874,0.2161556,10,0,2,5,5
1,0.36,-7.807755,0.2275324,10,0.03603084,2,5,5
1,0.38,-7.773635,0.2389091,10,0,2,5,5
1,0.4,-7.762261,0.2389091,10,0.05015577,2,5,5
1,0.42,-7.739514,0.2502853,10,0,2,5,5
1,0.4400001,-7.728141,0.2616626,10,0,2,5,5
1,0.4600001,-7.716768,0.2616626,10,0,2,5,5
1,0.4800001,-7.671275,0.2730387,10,0.07516208,2,5,5
1,0.5000001,-7.625782,0.2957922,10,0,2,5,5
1,0.52,-7.603035,0.3071684,10,0,2,5,5
1,0.54,-7.546169,0.3299218,10,0.1649763,2,5,5
1,0.56,-7.523423,0.341298,10,0,2,5,5
1,0.58,-7.489303,0.3526741,10,0,2,5,5
1,0.6,-7.432436,0.3754276,10,0,2,5,5
1,0.6199999,-7.386943,0.3754276,10,0,2,5,5
1,0.6399999,-7.352823,0.3754276,10,0,2,5,5
1,0.6599999,-7.34145,0.3754276,10,0.3286747,2,5,5
1,0.6799999,-7.34145,0.3754276,10,0,2,5,5
1,0.6999999,-7.318704,0.3754276,10,0,2,5,5
1,0.7199998,-7.284584,0.3640515,10,0,2,5,5
1,0.7399998,-7.261837,0.341298,10,0,2,5,5
1,0.7599998,-7.216344,0.3071684,10,0,2,5,5
1,0.7799998,-7.193597,0.2844149,10,0,2,5,5
1,0.7999998,-7.170851,0.2275324,10,0.3801714,2,5,5
1,0.8199998,-7.159477,0.1934028,10,0,2,5,5
1,0.8399997,-7.148105,0.1478958,10,0,2,5,5
1,0.8599997,-7.136731,0.1023901,10,0,2,5,5
1,0.8799997,-7.136731,0.05688429,10,0,2,5,5
1,0.8999997,-7.136731,0.02275467,10,0.3263829,2,5,5
1,0.9199997,-7.136731,-0.04550487,10,0,2,5,5
1,0.9399996,-7.136731,-0.1251414,10,0,2,5,5
1,0.9599996,-7.148105,-0.2161533,10,0.2501116,2,5,5
1,0.9799996,-7.148105,-0.2616602,10,0,2,5,5
1,0.9999996,-7.148105,-0.352672,10,0,2,5,5
1,1.02,-7.148105,-0.4095551,10,0,2,5,5
1,1.04,-7.148105,-0.4891908,10,0.1821431,2,5,5
1,1.06,-7.148105,-0.5688274,10,0,2,5,5
1,1.08,-7.148105,-0.6825927,10,0,2,5,5
1,1.1,-7.148105,-0.7622284,10,0.1234761,2,5,5
1,1.12,-7.148105,-0.887371,10,0,2,5,5
1,1.14,-7.136731,-0.9897602,10,0.1098618,2,5,5
1,1.159999,-7.125358,-1.114902,10,0,2,5,5
1,1.179999,-7.113985,-1.160408,10,0,2,5,5
1,1.199999,-7.102612,-1.251421,10,0.04040691,2,5,5
1,1.219999,-7.091238,-1.296927,10,0,2,5,5
1,1.239999,-7.079865,-1.35381,10,0,2,5,5
1,1.259999,-7.057118,-1.399317,10,0.0397938,2,5,5
1,1.279999,-7.034371,-1.478952,10,0,2,5,5
1,1.299999,-7.011625,-1.535835,10,0.08244085,2,5,5
1,1.319999,-6.954758,-1.649601,10,0,2,5,5
1,1.339999,-6.909266,-1.71786,10,0.2506571,2,5,5
1,1.359999,-6.852399,-1.797496,10,0,2,5,5
1,1.379999,-6.806906,-1.843002,10,0,2,5,5
1,1.399999,-6.738667,-1.911262,10,0,2,5,5
1,1.419999,-6.693173,-1.945392,10,0,2,5,5
1,1.439999,-6.659053,-1.956768,10,0,2,5,5
1,1.459999,-6.64768,-1.968145,10,0,2,5,5
1,1.479999,-6.624934,-1.968145,10,0,2,5,5
1,1.499999,-6.624934,-1.968145,10,0,2,5,5
1,1.519999,-6.579441,-1.922638,10,0,2,5,5
1,1.539999,-6.556694,-1.877132,10,0,2,5,5
1,1.559999,-6.499828,-1.68373,10,0.4306002,2,5,5
1,1.579999,-6.477081,-1.535835,10,0.3480946,2,5,5
1,1.599999,-6.477081,-1.274174,10,0.2060891,2,5,5
1,1.619999,-6.499828,-1.114902,10,0.1059004,2,5,5
1,1.639999,-6.545321,-0.9328768,10,0.1620966,2,5,5
1,1.659999,-6.568068,-0.8191115,10,0.2777898,2,5,5
1,1.679999,-6.602187,-0.6484631,10,0.4237095,2,5,5
1,1.699999,-6.624934,-0.5574504,10,0.5106736,2,5,5
1,1.719999,-6.624934,-0.4550612,10,0,2,5,5
1,1.739999,-6.624934,-0.3868017,10,0,2,5,5
1,1.759999,-6.61356,-0.2957898,10,0.7156428,2,5,5
1,1.779999,-6.579441,-0.2047771,10,0,2,5,5
1,1.799999,-6.511201,-0.09101182,10,0.8277351,2,5,5
1,1.819999,-6.465708,-0.01137525,10,0,2,5,5
1,1.839999,-6.431588,0.02275467,10,0,2,5,5
1,1.859999,-6.397468,0.05688429,10,0,2,5,5
1,1.879999,-6.386095,0.06826043,10,0,2,5,5
1,1.899999,-6.386095,0.06826043,10,0,2,5,5
1,1.919999,-6.363348,0.04550695,10,0.8757574,2,5,5
1,1.939999,-6.351975,0.01137733,10,0,2,5,5
1,1.959999,-6.260989,-0.1137641,10,0,2,5,5
1,1.979999,-6.170002,-0.2047771,10,0,2,5,5
1,1.999999,-6.05627,-0.3071663,10,0,2,5,5
1,2.019999,-5.976657,-0.3640494,10,0,2,5,5
1,2.039999,-5.908417,-0.398179,10,0.2942595,2,5,5
1,2.059999,-5.862924,-0.4323086,10,0,2,5,5
1,2.079999,-5.771938,-0.4778147,10,0,2,5,5
1,2.099999,-5.715072,-0.5119443,10,0,2,5,5
1,2.119999,-5.669579,-0.5460739,10,0.1025907,2,5,5
1,2.139999,-5.646832,-0.5688274,10,0,2,5,5
1,2.159999,-5.49898,-0.6939691,10,0.04916682,2,5,5
1,2.179999,-5.396619,-0.7849818,10,0.1104094,2,5,5
1,2.199999,-5.328379,-0.8418649,10,0,2,5,5
