time,PositionX,PositionY,PositionZ
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.875503,1.710843,0
0,-6.843375,1.630523,0
0,-6.763053,1.485944,0
0,-6.730925,1.373494,0
0,-6.682732,1.244981,0
0,-6.618474,1.084337,0
0,-6.489961,0.7469881,0
0,-6.393575,0.5060244,0
0,-6.281126,0.2811247,0
0,-6.18474,0.1044178,0
0,-6.008033,-0.200803,0
0,-5.895583,-0.3453815,0
0,-5.654619,-0.6987953,0
0,-5.42972,-1.036144,0
0,-5.124499,-1.437751,0
0,-5.012049,-1.566265,0
0,-4.803214,-1.791165,0
0,-4.514057,-2.064257,0
0,-4.192772,-2.305221,0
0,-3.887551,-2.497992,0
0,-3.518073,-2.658634,0
0,-3.180723,-2.738955,0
0,-2.891567,-2.75502,0
0,-2.634539,-2.706827,0
0,-2.329318,-2.594378,0
0,-2.088354,-2.481928,0
0,-1.943776,-2.385542,0
0,-1.831326,-2.257028,0
0,-1.686748,-2.064257,0
0,-1.510041,-1.7751,0
0,-1.381527,-1.485944,0
0,-1.253013,-1.164658,0
0,-1.140563,-0.8915663,0
0,-1.028113,-0.6024095,0
0,-0.9638562,-0.3293172,0
0,-0.8674707,-0.07228911,0
0,-0.7710853,0.1686746,0
0,-0.6907638,0.4257029,0
0,-0.5783138,0.6827313,0
0,-0.4819284,0.923695,0
0,-0.385543,1.13253,0
0,-0.2570284,1.373494,0
0,-0.1445791,1.550201,0
0,-0.04819369,1.694779,0
0,0.03212782,1.759036,0
0,0.08032086,1.791165,0
0,0.1124487,1.791165,0
0,0.1285139,1.791165,0
0,0.1767069,1.791165,0
0,0.2248987,1.807229,0
0,0.3052195,1.807229,0
0,0.3855417,1.807229,0
0,0.5301195,1.807229,0
0,0.6425695,1.807229,0
0,0.8514055,1.759036,0
0,1.06024,1.662651,0
0,1.236947,1.550201,0
0,1.365461,1.453816,0
0,1.461846,1.373494,0
0,1.542169,1.261044,0
0,1.606425,1.180723,0
0,1.654618,1.084337,0
0,1.70281,1.004016,0
0,1.767068,0.8915663,0
0,1.847389,0.6827313,0
0,1.943774,0.5220884,0
0,2.008032,0.3614455,0
0,2.056225,0.248996,0
0,2.120482,0.05622506,0
0,2.184737,-0.1044175,0
0,2.248996,-0.2329314,0
0,2.329317,-0.4257026,0
0,2.37751,-0.5863452,0
0,2.425701,-0.6987953,0
0,2.473894,-0.8755019,0
0,2.554217,-1.052209,0
0,2.634537,-1.293173,0
0,2.698796,-1.502008,0
0,2.779117,-1.662651,0
0,2.811244,-1.759036,0
0,2.891567,-1.903614,0
0,2.971887,-2.032128,0
0,3.052208,-2.176707,0
0,3.116465,-2.273092,0
0,3.196786,-2.337349,0
0,3.261044,-2.401607,0
0,3.341364,-2.465863,0
0,3.421687,-2.481928,0
0,3.485943,-2.497992,0
0,3.566265,-2.497992,0
0,3.662651,-2.465863,0
0,3.742972,-2.433735,0
0,3.88755,-2.353414,0
0,4.032128,-2.257028,0
0,4.257028,-2.11245,0
0,4.449799,-1.935743,0
0,4.626507,-1.759036,0
0,4.803212,-1.485944,0
0,4.94779,-1.261044,0
0,5.060241,-1.02008,0
0,5.140563,-0.8433735,0
0,5.253012,-0.6024095,0
0,5.365461,-0.3614458,0
0,5.477911,-0.1044175,0
0,5.590361,0.1204818,0
0,5.686747,0.3453815,0
0,5.783133,0.6184739,0
0,5.863455,0.9076309,0
0,5.927711,1.212851,0
0,5.95984,1.502008,0
0,6.008033,1.678715,0
0,6.056226,1.807229,0
0,6.104419,1.88755,0
0,6.136547,1.951807,0
0,6.168675,2.016065,0
0,6.200804,2.048193,0
0,6.248997,2.064257,0
0,6.265061,2.080321,0
0,6.29719,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
0,6.313252,2.11245,0
