time,PositionX,PositionY,PositionZ
2.299999,-6.514058,1.100402,10
2.319999,-6.465865,0.9558237,10
2.339998,-6.401609,0.7630521,10
2.359998,-6.337351,0.5702811,10
2.379998,-6.305223,0.4738957,10
2.399998,-6.257031,0.3614455,10
2.419998,-6.192773,0.2168673,10
2.439998,-6.016067,-0.08835316,10
2.459998,-5.823295,-0.3935742,10
2.479998,-5.662652,-0.6024095,10
2.499998,-5.50201,-0.7309237,10
2.519998,-5.405624,-0.8755019,10
2.539998,-5.212853,-1.052209,10
2.559998,-4.971889,-1.164658,10
2.579998,-4.650604,-1.261044,10
2.599998,-4.329319,-1.325301,10
2.619998,-3.943777,-1.325301,10
2.639998,-3.606428,-1.325301,10
2.659998,-3.23695,-1.325301,10
2.679998,-2.819279,-1.277108,10
2.699998,-2.36948,-1.212851,10
2.719998,-1.967873,-1.148594,10
2.739998,-1.694781,-1.036144,10
2.759998,-1.550203,-0.9879518,10
2.779998,-1.405624,-0.8755019,10
2.799998,-1.16466,-0.6666663,10
2.819998,-0.9558253,-0.5060241,10
2.839998,-0.7469897,-0.3132531,10
2.859998,-0.618476,-0.1526102,10
2.879998,-0.5060253,-0.008032024,10
2.899998,-0.393576,0.1526105,10
2.919998,-0.2811266,0.3132528,10
2.939998,-0.2008047,0.4257029,10
2.959998,-0.1365479,0.4899603,10
2.979998,-0.05622663,0.5702811,10
2.999998,0.02409462,0.6506026,10
3.019998,0.1204809,0.7469881,10
3.039998,0.2329302,0.8594376,10
3.059998,0.3293152,0.939759,10
3.079998,0.4417646,1.036144,10
3.099998,0.5220864,1.100402,10
3.119998,0.586344,1.100402,10
3.139998,0.6024083,1.116466,10
3.159998,0.6184728,1.116466,10
3.179998,0.6184728,1.116466,10
3.199998,0.6345358,1.116466,10
3.219998,0.6666646,1.116466,10
3.239998,0.7309221,1.100402,10
3.259998,0.7951796,1.068273,10
3.279998,0.827307,1.02008,10
3.299998,0.8755002,0.9558237,10
3.319998,0.9558221,0.8112448,10
3.339998,1.1004,0.6184739,10
3.359998,1.341363,0.3453815,10
3.379997,1.550199,0.08835375,10
3.399997,1.726907,-0.1204818,10
3.419997,1.839355,-0.2329314,10
3.439997,1.919678,-0.3453815,10
3.459997,1.983933,-0.4578313,10
3.479997,2.08032,-0.6184736,10
3.499997,2.19277,-0.8594376,10
3.519997,2.321284,-1.068273,10
3.539997,2.481926,-1.293173,10
3.559997,2.626504,-1.469879,10
3.579997,2.706825,-1.598393,10
3.599997,2.771083,-1.678715,10
3.619997,2.867469,-1.7751,10
3.639997,3.044174,-1.871486,10
3.659997,3.25301,-1.951807,10
3.679997,3.445781,-2,10
3.699997,3.510039,-2.016064,10
3.719997,3.558232,-2.016064,10
3.739997,3.638553,-2.032128,10
3.759997,3.815259,-2.048193,10
3.779997,4.024095,-2.048193,10
3.799997,4.184738,-2.048193,10
3.819997,4.265059,-2.016064,10
3.839997,4.313251,-1.951807,10
3.859997,4.377509,-1.839357,10
3.879997,4.473895,-1.726907,10
3.899997,4.602409,-1.469879,10
3.919997,4.698794,-1.341365,10
3.939997,4.730923,-1.261044,10
3.959997,4.730923,-1.228916,10
3.979997,4.730923,-1.196787,10
3.999997,4.746987,-1.148594,10
4.019997,4.779114,-1.084337,10
4.039997,4.827308,-0.9879518,10
4.059997,4.891565,-0.8915663,10
4.079997,4.955822,-0.7630521,10
4.099997,5.036143,-0.6345379,10
4.119997,5.132529,-0.4738954,10
4.139997,5.228914,-0.3132531,10
4.159997,5.325299,-0.1847386,10
4.179997,5.421686,-0.04016042,10
4.199997,5.534136,0.1365465,10
4.219997,5.614457,0.2650601,10
4.239997,5.710842,0.4257029,10
4.259997,5.791162,0.5702811,10
4.279997,5.871486,0.6506026,10
4.299997,5.951806,0.7630521,10
4.319997,6.048191,0.8755022,10
4.339997,6.128512,0.9879518,10
4.359997,6.19277,1.100402,10
4.379997,6.257027,1.180723,10
4.399997,6.321283,1.277108,10
4.419997,6.369476,1.373494,10
4.439997,6.401606,1.437752,10
4.459997,6.417669,1.502008,10
4.479997,6.433734,1.550201,10
4.499997,6.449798,1.58233,10
