time,PositionX,PositionY,PositionZ
0,-6.414536,0.8045983,10
2.239999,-6.622174,0.9084171,10
2.259999,-6.614758,0.8342606,10
2.279999,-6.607342,0.7526886,10
2.299999,-6.599927,0.6711161,10
2.319999,-6.57768,0.5672967,10
2.339998,-6.548017,0.470894,10
2.359998,-6.518355,0.381906,10
2.379998,-6.466445,0.2780867,10
2.399998,-6.399704,0.144605,10
2.419998,-6.310717,-0.003707707,10
2.439998,-6.206897,-0.144605,10
2.459998,-6.058585,-0.3225806,10
2.479998,-5.910271,-0.463478,10
2.499998,-5.754542,-0.5969596,10
2.519998,-5.561736,-0.7378566,10
2.539998,-5.346682,-0.8935854,10
2.559998,-5.064888,-1.071561,10
2.579998,-4.723768,-1.264368,10
2.599998,-4.301076,-1.472006,10
2.619998,-3.83389,-1.679644,10
2.639998,-3.37412,-1.850204,10
2.659998,-2.921766,-2.005932,10
2.679998,-2.513905,-2.117167,10
2.699998,-2.098629,-2.243233,10
2.719998,-1.683352,-2.332221,10
2.739998,-1.216166,-2.354468,10
2.759998,-0.8379685,-2.354468,10
2.779998,-0.6006678,-2.354468,10
2.799998,-0.355952,-2.309974,10
2.819998,-0.177976,-2.228402,10
2.839998,-6.36E-07,-2.080089,10
2.859998,0.1186494,-1.909529,10
2.879998,0.2298849,-1.598072,10
2.899998,0.3114562,-1.227289,10
2.919998,0.3114562,-0.8861697,10
2.939998,0.3188726,-0.5450502,10
2.959998,0.3262877,-0.2632552,10
2.979998,0.3262877,0.003708005,10
2.999998,0.3262877,0.1742679,10
3.019998,0.3262877,0.3374118,10
3.039998,0.3262877,0.4783094,10
3.059998,0.3262877,0.6340379,10
3.079998,0.3262877,0.7823515,10
3.099998,0.3262877,0.9084171,10
3.119998,0.3262877,1.041899,10
3.139998,0.3411192,1.138302,10
3.159998,0.3707809,1.212458,10
3.179998,0.4004439,1.279199,10
3.199998,0.4301069,1.316278,10
3.219998,0.4597686,1.34594,10
3.239998,0.5042631,1.360772,10
3.259998,0.5339261,1.368187,10
3.279998,0.5784193,1.375602,10
3.299998,0.6599919,1.390434,10
3.319998,0.7786425,1.390434,10
3.339998,0.9640343,1.375602,10
3.359998,1.156841,1.301446,10
3.379997,1.401558,1.145718,10
3.399997,1.631442,0.9306639,10
3.419997,1.883574,0.6785315,10
3.439997,2.083796,0.4189843,10
3.459997,2.217278,0.2187616,10
3.479997,2.306266,0.02595484,10
3.499997,2.350759,-0.1297736,10
3.519997,2.373006,-0.3151646,10
3.539997,2.410085,-0.5228031,10
3.559997,2.439747,-0.7230255,10
3.579997,2.499073,-0.9232479,10
3.599997,2.558399,-1.130886,10
3.619997,2.625139,-1.301446,10
3.639997,2.699295,-1.434928,10
3.659997,2.780867,-1.598072,10
3.679997,2.847608,-1.753801,10
3.699997,2.914349,-1.872451,10
3.719997,2.988506,-1.968854,10
3.739997,3.047832,-2.057842,10
3.759997,3.114571,-2.117167,10
3.779997,3.166481,-2.14683,10
3.799997,3.225807,-2.169077,10
3.819997,3.307378,-2.169077,10
3.839997,3.411197,-2.176492,10
3.859997,3.470523,-2.161661,10
3.879997,3.522432,-2.14683,10
3.899997,3.589173,-2.131999,10
3.919997,3.67816,-2.102336,10
3.939997,3.737486,-2.080089,10
3.959997,3.752316,-2.065258,10
3.979997,3.774563,-2.050426,10
3.999997,3.804227,-2.035595,10
4.019997,3.856136,-1.998517,10
4.039997,3.915462,-1.961438,10
4.059997,3.959955,-1.931776,10
4.079997,4.004449,-1.887282,10
4.099997,4.056359,-1.827957,10
4.119997,4.182425,-1.679644,10
4.139997,4.427141,-1.390434,10
4.159997,4.775677,-0.9899887,10
4.179997,5.153875,-0.5821282,10
4.199997,5.457916,-0.189099,10
4.219997,5.65814,0.1149428,10
4.239997,5.821284,0.381906,10
4.259997,5.932518,0.6266224,10
4.279997,6.021505,0.841676,10
4.299997,6.066,0.9825736,10
4.319997,6.110493,1.138302,10
4.339997,6.162403,1.264368,10
4.359997,6.221729,1.390434,10
4.379997,6.295884,1.531332,10
4.399997,6.347795,1.672229,10
4.419997,6.392289,1.746385,10
4.439997,6.421951,1.805711,10
4.459997,6.429366,1.842788,10
